tmID,year,GP,GS,minutes,points,oRebounds,dRebounds,rebounds,assists,steals,blocks,turnovers,PF,fAttempted,fgMade,ftattempted,ftMade,threeAttempted,threeMade,dq
SEA,3,311,172,6721,1968,292,644,936,482,267,130,421,627,1863,710,584,406,460,142,5
SEA,4,327,202,7327,2517,365,705,1070,546,297,162,504,634,2248,930,597,469,550,188,4
SEA,5,273,159,6130,2543,353,773,1126,524,206,141,449,603,2160,934,662,511,498,164,8
SEA,6,201,102,4338,1710,209,474,683,352,159,113,303,380,1389,620,424,328,361,142,2
SEA,7,292,208,6990,2508,366,822,1188,484,198,167,494,698,2062,909,686,534,444,156,12
SEA,8,336,166,6329,2497,327,755,1082,521,208,130,515,630,2077,910,661,512,485,165,5
SEA,9,289,143,6128,2214,338,759,1097,461,228,142,438,542,1813,808,612,467,378,131,2
SEA,10,290,148,6438,2276,251,668,919,641,246,124,492,603,1952,816,616,482,503,162,3
UTA,2,251,170,6122,2285,343,751,1094,490,213,150,508,677,1835,829,739,562,192,65,10
UTA,3,268,180,6827,2353,311,811,1122,513,202,157,503,607,2016,873,727,537,223,70,7
WAS,2,236,146,5385,2009,292,569,861,327,208,117,399,521,1660,781,530,364,251,83,4
WAS,3,265,128,5512,1556,325,653,978,372,229,125,405,443,1597,612,363,237,318,95,2
WAS,4,279,141,5938,1889,292,609,901,504,188,62,404,532,1695,707,443,329,399,146,3
WAS,5,296,195,6916,2527,385,741,1126,575,238,97,463,664,2355,970,577,429,493,158,3
WAS,6,282,172,6421,1985,328,636,964,387,220,117,401,658,1721,746,575,404,226,89,3
WAS,7,239,148,5678,1942,230,539,769,361,215,64,335,559,1702,707,483,346,536,182,6
WAS,8,367,209,7920,3210,383,876,1259,677,344,133,593,882,2567,1141,937,706,640,222,14
WAS,9,347,142,6629,2466,367,700,1067,450,263,114,491,682,2012,859,764,594,491,154,9
WAS,10,325,186,6825,2476,370,735,1105,564,257,90,585,857,2170,891,828,559,413,135,14
