tmID,year,GP,GS,minutes,points,oRebounds,dRebounds,rebounds,assists,steals,blocks,turnovers,PF,fAttempted,fgMade,ftattempted,ftMade,threeAttempted,threeMade,dq
PHO,9,58.67,33.89,1321.0,580.89,51.56,149.89,201.44,126.22,50.67,22.22,89.67,120.22,487.0,209.67,131.33,103.67,157.44,57.89,1.11
PHO,10,45.73,32.0,1064.36,509.09,50.09,133.27,183.36,94.82,39.82,24.27,76.45,113.45,417.82,178.45,134.73,112.09,119.09,40.09,1.55
POR,2,28.78,19.78,692.22,230.33,33.22,70.33,103.56,50.0,27.11,10.44,54.44,74.11,192.44,81.44,74.0,53.89,42.22,13.56,1.0
POR,3,44.17,25.75,955.25,282.75,43.42,102.25,145.67,82.67,38.42,15.33,71.83,93.17,238.33,100.08,91.33,65.0,51.17,17.58,0.75
SAC,2,27.55,18.73,636.18,244.09,35.27,62.82,98.09,55.55,29.82,18.27,47.0,55.45,205.73,91.45,68.64,48.73,41.09,12.45,0.55
SAC,3,51.83,33.75,1196.42,419.58,65.67,123.42,189.08,104.67,50.5,30.83,87.92,109.5,357.08,155.33,117.25,84.75,69.5,24.17,1.0
SAC,4,50.67,30.44,1244.11,443.33,71.78,140.33,212.11,96.89,48.44,29.22,88.22,121.56,382.89,163.0,132.89,98.56,54.11,18.78,1.11
SAC,5,51.1,29.8,1181.2,418.2,61.1,125.6,186.7,94.3,51.0,22.5,80.6,114.7,367.5,153.9,124.0,88.7,69.2,21.7,1.1
SAC,6,53.25,25.0,1158.88,378.88,70.0,124.62,194.62,102.62,54.75,21.25,85.88,113.38,318.62,136.5,123.62,84.75,60.5,21.12,0.88
SAC,7,60.0,30.88,1327.12,465.38,76.62,141.12,217.75,107.0,63.5,22.25,94.88,121.38,393.25,170.75,138.5,97.12,73.12,26.75,0.5
SAC,8,51.33,26.0,1061.25,366.58,58.42,119.5,177.92,82.08,47.92,14.58,71.42,98.33,318.25,131.5,113.33,80.25,66.75,23.33,0.25
SAC,9,57.67,27.11,1163.67,404.44,69.89,134.44,204.33,86.44,53.33,15.0,80.78,102.56,361.0,143.78,118.67,87.78,84.22,29.11,0.67
SAC,10,53.27,30.0,1139.55,423.55,62.82,116.82,179.64,90.36,56.73,13.27,87.91,106.73,364.09,147.91,120.64,94.73,85.73,33.0,0.64
SAS,4,53.89,38.56,1384.0,487.44,62.11,151.33,213.44,108.89,42.89,38.22,108.0,127.78,417.22,177.44,154.11,116.22,50.56,16.33,1.0
SAS,5,47.5,32.83,1175.5,452.42,70.92,144.0,214.92,87.67,46.0,30.08,97.58,110.75,388.33,163.92,156.67,116.75,33.67,7.83,0.83
SAS,6,52.0,33.44,1076.78,372.33,40.0,98.56,138.56,82.56,39.78,8.11,76.78,95.33,322.78,132.78,111.44,86.67,62.78,20.11,0.67
SAS,7,39.22,25.11,921.44,287.0,26.56,73.0,99.56,82.22,27.22,7.56,69.33,78.89,240.78,101.44,80.67,65.67,55.0,18.44,1.0
SAS,8,47.44,38.22,1189.56,405.33,48.44,125.78,174.22,99.56,43.78,18.67,84.22,113.33,357.44,146.0,108.89,87.56,75.33,25.78,1.33
SAS,9,45.88,36.0,1119.38,398.88,48.12,128.88,177.0,107.5,45.62,21.88,83.0,101.0,351.75,148.38,95.0,77.0,71.0,25.12,0.38
SAS,10,50.62,35.75,1269.88,492.88,46.12,150.62,196.75,124.62,51.88,25.0,94.12,110.75,408.38,179.38,120.62,98.75,101.5,35.38,0.5
SEA,2,25.73,9.64,488.64,135.82,17.73,42.27,60.0,33.55,19.91,7.73,40.73,52.64,127.64,49.45,43.73,27.73,30.0,9.18,0.45
SEA,3,45.33,21.0,915.08,268.75,39.25,83.83,123.08,65.42,37.5,16.75,64.58,91.5,247.58,95.42,85.83,59.0,61.17,18.92,0.75
SEA,4,46.92,28.77,1041.54,355.54,49.92,101.15,151.08,75.23,44.23,23.31,69.46,91.54,313.62,127.62,93.46,72.23,80.77,28.08,0.54
SEA,5,56.2,33.0,1300.8,516.2,71.4,148.3,219.7,106.1,51.5,29.3,94.5,128.6,455.9,191.2,127.2,96.1,109.9,37.7,1.4
SEA,6,47.62,23.75,1042.0,439.75,54.0,126.62,180.62,88.88,36.0,27.5,77.88,94.62,364.0,161.38,107.0,83.25,94.5,33.75,0.62
SEA,7,43.33,29.17,1028.75,380.33,51.67,122.83,174.5,73.5,31.5,25.83,71.17,99.67,309.08,137.92,101.33,78.92,69.17,25.58,1.25
SEA,8,50.77,30.46,1102.23,406.23,54.54,127.31,181.85,84.92,32.92,23.62,82.62,106.85,337.38,147.69,107.85,83.46,78.0,27.38,1.31
SEA,9,52.6,31.2,1196.1,464.2,67.4,149.4,216.8,101.2,46.2,25.2,88.1,102.0,377.6,164.8,141.1,109.9,73.7,24.7,0.4
SEA,10,55.0,26.64,1175.82,420.0,55.55,132.82,188.36,102.36,42.82,26.09,88.0,107.82,353.36,150.91,114.55,89.45,84.73,28.73,0.36
UTA,2,27.89,18.89,680.22,253.89,38.11,83.44,121.56,54.44,23.67,16.67,56.44,75.22,203.89,92.11,82.11,62.44,21.33,7.22,1.11
UTA,3,50.67,32.22,1254.56,464.89,66.44,153.78,220.22,94.67,37.78,33.44,96.11,121.44,383.22,170.0,150.11,112.67,39.44,12.22,1.33
WAS,2,29.5,18.25,673.12,251.12,36.5,71.12,107.62,40.88,26.0,14.62,49.88,65.12,207.5,97.62,66.25,45.5,31.38,10.38,0.5
WAS,3,38.73,20.36,841.73,268.09,52.27,104.36,156.64,52.45,34.45,21.0,60.45,72.09,251.0,107.0,64.82,43.0,36.82,11.09,0.45
WAS,4,48.5,26.2,1049.7,313.1,51.3,105.7,157.0,87.9,37.8,12.7,73.1,83.8,295.3,119.1,73.6,52.2,67.0,22.7,0.7
WAS,5,52.2,33.4,1223.3,456.5,68.8,134.8,203.6,100.2,42.2,14.9,84.8,117.1,412.6,173.6,110.1,81.3,83.4,28.0,0.6
WAS,6,47.82,31.45,1122.27,362.09,59.36,112.64,172.0,74.27,39.73,20.18,71.45,113.45,324.09,136.45,98.82,70.45,51.18,18.73,0.64
WAS,7,56.5,39.38,1427.12,483.88,61.5,132.12,193.62,105.75,53.12,20.0,89.38,141.75,418.62,175.0,125.62,91.12,119.62,42.75,1.12
WAS,8,49.23,27.62,1091.69,412.38,49.85,114.38,164.23,82.23,44.85,16.0,74.23,115.23,341.69,147.54,113.38,84.23,95.31,33.08,1.54
WAS,9,55.0,25.58,1082.0,415.83,58.33,123.0,181.33,86.5,43.92,17.17,83.75,110.75,336.17,147.25,124.33,95.58,76.42,25.75,1.42
WAS,10,51.73,30.91,1176.18,439.09,64.09,134.27,198.36,87.27,44.64,17.73,92.64,136.45,373.64,155.36,149.45,105.82,70.55,22.55,2.09
